,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT,Distance Traveled
84,03302019,brown, princeton,14-10,1,14,8,22,38,25,1,33,24,10,16,27,3,10,16,1,0,0.839,10,8,18,43,26,0,22,16,15,11,27,4,11,0.933,2019,0.0,1.0,Princeton,0.0,198.0241036484448
85,04062019,brown,penn,9-16,1,9,5,14,39,24,2,30,10,7,13,29,7,16,14,0,1,0.889,16,11,27,61,30,2,32,14,1,16,29,3,15,0.824,2019,1.0,0.0,Brown,0.0,0.0
86,04132019,brown, yale,12-17,1,12,7,19,32,19,1,21,17,8,7,30,2,17,15,0,1,0.786,17,13,30,52,32,1,38,15,12,23,30,4,7,0.900,2019,0.0,1.0,Yale,0.0,90.66703816407025
87,04162019,brown, providence,9-7,1,9,9,18,34,18,1,34,19,8,8,18,5,7,17,1,0,0.962,7,5,12,46,24,2,34,19,11,10,18,4,9,0.917,2019,0.0,1.0,Providence,0.0,7822.486569458267
88,04202019,brown,cornell,9-12,1,9,8,17,49,21,1,30,22,5,12,24,1,12,10,0,1,0.762,12,7,19,36,22,0,25,18,4,12,24,2,12,0.812,2019,1.0,0.0,Brown,0.0,0.0
89,04232019,brown, bryant,17-7,1,17,13,30,46,29,0,43,16,11,15,28,3,7,6,1,0,0.875,7,4,11,22,13,1,23,22,6,13,28,1,12,0.619,2019,0.0,1.0,Bryant,0.0,9.737331455575259
90,04272019,brown, dartmouth,11-7,1,11,7,18,36,24,1,46,26,7,20,22,6,7,7,1,0,0.704,7,4,11,31,14,2,26,13,13,2,22,4,13,0.826,2019,0.0,1.0,Dartmouth,0.0,137.7539120461324
91,05032019,brown, penn,12-13,1,12,4,16,56,28,0,30,8,7,14,29,3,13,10,0,1,1.0,13,7,20,35,23,1,29,17,6,15,29,3,16,0.870,2019,0.0,1.0,Penn,0.0,342.62346735282057
92,02102019,bryant, bucknell,6-9,1,6,2,8,27,19,1,32,27,4,6,19,3,9,16,0,1,0.769,9,6,15,45,25,0,35,15,12,13,19,4,13,0.909,2019,0.0,1.0,Bucknell,0.0,285.78529752096085
93,02162019,bryant,providence,11-8,1,11,6,17,30,17,2,32,21,7,15,23,2,8,15,1,0,0.944,8,6,14,37,23,0,26,11,3,8,23,5,6,0.778,2019,1.0,0.0,Bryant,0.0,0.0
94,02232019,bryant,dartmouth,6-5,1,6,3,9,38,21,0,32,16,8,8,15,3,5,14,1,0,0.75,5,3,8,31,19,0,27,19,8,7,15,4,15,0.696,2019,1.0,0.0,Bryant,0.0,0.0
95,02262019,bryant, boston u,9-14,1,9,4,13,29,19,1,30,27,10,10,25,4,14,10,0,1,0.593,14,11,25,40,24,2,43,24,17,15,25,4,10,0.818,2019,0.0,1.0,Boston U,0.0,
